0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:56:17 +0100] "GET /demarrage/images/catssofunny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:57:44 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:57:45 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:57:45 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:26 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:28 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:28 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:28 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:28 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:44 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:44 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:58:44 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:35 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:59 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:59 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:10:59 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:11:17 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:11:17 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:11:17 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:11:18 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:11:18 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:11:18 +0100] "GET /demarrage/images/catssofunny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:02 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:02 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:02 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:42 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:42 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:43 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:56 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:57 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:12:57 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [26/Jan/2018:16:13:50 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
